name,year,certifi,time,Genre,Vote,Metascore,Rating
 WandaVision,(2021),TV-PG,35 min,"Action, Comedy, Drama","20,577",No data,8.9
 WandaVision,(2021),TV-PG,37 min,"Action, Comedy, Drama","20,506",No data,7.8
 WandaVision,(2021),TV-14,42 min,"Action, Comedy, Drama","20,250",No data,9.1
Space Sweepers,(2021),TV-MA,136 min,"Action, Adventure, Drama","19,959",64        ,6.6
Fatherhood,(2021),PG-13,109 min,"Comedy, Drama","19,949",53        ,6.7
Moxie,(2021),PG-13,111 min,"Comedy, Drama, Music","19,890",54        ,6.7
Night Stalker: The Hunt for a Serial Killer,(2021),TV-MA,189 min,"Documentary, Crime, Mystery","19,558",No data,7.5
Bad Trip,(2021),Unrated,86 min,Comedy,"19,278",61        ,6.6
 WandaVision,(2021),TV-PG,33 min,"Action, Comedy, Drama","18,905",No data,8.2
Fear Street Part 1: 1994,(2021),R,107 min,"Drama, Horror, Mystery","18,632",67        ,6.2
 Loki,(2021– ),TV-14,53 min,"Action, Adventure, Fantasy","18,595",No data,9.0
Yes Day,(2021),PG,86 min,"Comedy, Family","18,359",46        ,5.7
To All the Boys: Always and Forever,(2021),TV-14,109 min,"Comedy, Drama, Romance","18,352",65        ,6.3
The Innocent,(2021),TV-MA,467 min,"Crime, Drama, Mystery","18,349",No data,7.9
 WandaVision,(2021),TV-PG,47 min,"Action, Comedy, Drama","18,150",No data,9.0
 WandaVision,(2021),TV-PG,50 min,"Action, Comedy, Drama","18,050",No data,8.4
Wrong Turn,(2021),R,109 min,"Horror, Thriller","17,862",46        ,5.5
 WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama","17,617",No data,8.9
Infinite,(2021),PG-13,106 min,"Action, Sci-Fi, Thriller","17,285",28        ,5.4
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","16,878",No data,9.3
 WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama","16,465",No data,8.5
Firefly Lane,(2021– ),TV-MA,No data,"Drama, Romance","16,195",No data,7.4
 Loki,(2021– ),TV-14,48 min,"Action, Adventure, Fantasy","15,966",No data,9.4
 Loki,(2021– ),TV-14,42 min,"Action, Adventure, Fantasy","15,868",No data,7.9
Karnan,(2021),No data,158 min,"Action, Drama","15,735",No data,8.3
The Marksman,(2021),PG-13,108 min,"Action, Drama, Thriller","15,728",44        ,5.6
Superman and Lois,(2021– ),TV-14,42 min,"Action, Adventure, Drama","15,680",No data,7.9
Below Zero,(2021),TV-MA,106 min,"Action, Adventure, Crime","15,654",No data,6.2
Willy's Wonderland,(2021),TV-MA,88 min,"Action, Comedy, Horror","15,423",44        ,5.6
 The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama","15,345",No data,7.7
The Map of Tiny Perfect Things,(2021),PG-13,98 min,"Comedy, Fantasy, Romance","14,803",61        ,6.8
Crime Scene: The Vanishing at the Cecil Hotel,(2021),TV-MA,219 min,"Documentary, Crime, Mystery","14,792",No data,5.9
The Nevers,(2021– ),TV-MA,58 min,"Action, Drama, Fantasy","14,786",No data,7.4
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","14,064",No data,9.7
 The Falcon and the Winter Soldier,(2021),TV-14,53 min,"Action, Adventure, Drama","13,903",No data,8.8
Bliss,(I) (2021),R,103 min,"Drama, Romance, Sci-Fi","13,847",40        ,5.3
Them,(2021– ),TV-MA,45 min,"Drama, Horror, Thriller","13,653",No data,7.3
The Ice Road,(2021),PG-13,109 min,"Action, Adventure, Drama","13,531",42        ,5.5
Clarkson's Farm,(2021– ),TV-PG,45 min,Documentary,"13,469",No data,9.3
 The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama","13,279",No data,7.9
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","13,077",No data,8.9
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","13,063",No data,9.8
The Hitman's Wife's Bodyguard,(2021),R,100 min,"Action, Comedy, Crime","12,522",32        ,6.3
The Irregulars,(2021),TV-14,No data,"Crime, Drama, Fantasy","12,330",No data,5.9
 The Falcon and the Winter Soldier,(2021),TV-14,51 min,"Action, Adventure, Drama","12,299",No data,8.0
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","12,289",No data,9.7
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","12,080",No data,9.1
The Big Bull,(2021),No data,153 min,"Biography, Crime, Drama","11,663",No data,6.1
 The Falcon and the Winter Soldier,(2021),TV-14,49 min,"Action, Adventure, Drama","11,637",No data,7.8
Dota: Dragon's Blood,(2021– ),TV-MA,25 min,"Animation, Action, Adventure","11,616",No data,8.0
Wish Dragon,(2021),PG,98 min,"Animation, Adventure, Comedy","11,608",59        ,7.2
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","11,512",No data,9.2
Haseen Dillruba,(2021),TV-MA,135 min,"Crime, Drama, Mystery","11,512",No data,6.9
 The Falcon and the Winter Soldier,(2021),TV-14,57 min,"Action, Adventure, Drama","11,478",No data,8.0
 Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure","11,342",No data,9.7
Red Dot,(2021),TV-MA,86 min,"Drama, Horror, Thriller","11,293",No data,5.5
Star Wars: The Bad Batch,(2021– ),TV-PG,No data,"Animation, Action, Adventure","11,233",No data,8.3
The Unholy,(2021),PG-13,99 min,"Drama, Horror, Mystery","11,057",36        ,5.0
The One,(2021– ),TV-MA,No data,"Crime, Drama, Sci-Fi","10,575",No data,6.6
 Loki,(2021– ),TV-14,48 min,"Action, Adventure, Fantasy","10,486",No data,9.3
Deadly Illusions,(2021),R,114 min,"Drama, Thriller","10,332",No data,3.7
Vakeel Saab,(2021),TV-14,153 min,"Action, Crime, Drama","10,192",No data,7.8
